Nama Juice Buah,Rating,Total Reviews,Alamat,Latitude,Longitude,Place ID
Sofia Boutique Residence,4.6,1025,"Jl. Karya Utama, Panggung Sari, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581, Indonesia",-7.7411525999999995,110.3704209,ChIJHayDWuRYei4Rqe-La2He-cI
Griya Desa Hotel,4.5,512,"Jalan Padma No.1A, Tegalwaras, Panggung Sari, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581, Indonesia",-7.7410480999999995,110.3686594,ChIJPbjHt-VYei4R-b6G0gj8hkI
INDOLUXE HOTEL JOGJAKARTA,4.4,6336,"Jl. Palagan Tentara Pelajar No.106, Sumberan, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581, Indonesia",-7.750151499999999,110.3723886,ChIJBephhJRZei4RPsYABQx1FWI
RedDoorz near Sleman City Hall 2,4.4,183,"Jl. Gito Gati No.1, Penggung, Tridadi, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55511, Indonesia",-7.721509500000001,110.36209410000001,ChIJS08FDNNZei4RemXqizNWBKw
Ubu Villa Gito Gati,4.8,149,"Jl. Griya Taman Asri, Berkisan, Pandowoharjo, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55512, Indonesia",-7.709174299999999,110.3712396,ChIJqViZ59Ffei4RuS4yYPt7XQA
Grand Serela Yogyakarta,4.3,4550,"Jl. Magelang KM 4 No.145 Sleman, Rogoyudan, Sinduadi, Kec. Mlati, Yogyakarta, Daerah Istimewa Yogyakarta 55284, Indonesia",-7.7688317,110.36130759999999,ChIJYQ3DdkRYei4RTvxT2NvMdkE
PALAGAN HUIS,4.8,163,"Jl. Bendosari, Mudal, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581, Indonesia",-7.733900299999999,110.3784915,ChIJzauEl4BZei4RjeuTFSB2VG0
Omah Mbah Mandor,4.5,139,"RT.-04/RW.-22, Bolawen, Tlogoadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55286, Indonesia",-7.7302262,110.3485043,ChIJrRIcAbxYei4RHqxd5tcM3dk
Grha Awen Sleman,4.7,28,"Jl. Kyai Awen No.10 - 14, Kranggahan II, Trihanggo, Kec. Gamping, Yogyakarta, Daerah Istimewa Yogyakarta 55291, Indonesia",-7.747500099999999,110.3460532,ChIJg-uNC9NZei4RRj8GIIvSDBQ
The Kharma Villas Yogyakarta,4.7,1772,"Jl. Padma No.23, Panggung Sari, Sariharjo, Kec. Ngaglik, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55581, Indonesia",-7.7398516,110.3690924,ChIJe48PGdFeei4RcxPwA_bb8ao
RedDoorz @ Artomoro Guest House,4.6,129,"Jl. Magelang No.KM.10, Beran Lor, Tridadi, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55511, Indonesia",-7.713636299999999,110.35933089999999,ChIJZ38oIatfei4RYorxiIa9hok
Villa D'Swah Yogyakarta by Kuncara PHM,4.9,9,"Jl. Kebon Agung No.354, Area Sawah, Tlogoadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55286, Indonesia",-7.7358144,110.3400504,ChIJoWOMOp5Zei4RFz-_ikRynKQ
Makyra by Bohemian Jogja Villas,5,162,"Jl. Palagan Tentara Pelajaran, Waras, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581, Indonesia",-7.740740199999999,110.36846639999999,ChIJWRWE96lZei4RHlOHJfwV0jc
Greenhouse Exclusive Kost Tegalwaras,4.6,62,"Tegalwaras no 71, Karang Moko, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581, Indonesia",-7.736835999999999,110.37207099999999,ChIJYRs40eZYei4RYeAxsdl7i5E
The Lavana Astungkara,4.3,37,"Jl. Griya Taman Asri Jl. Tlacap, Grojogan, Pandowoharjo, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55511, Indonesia",-7.718034399999999,110.3684684,ChIJU4yTTGvfKCwRYLsGrP-ictE
Cotton House Monjali,4.5,301,"Jl. Amerta Raya Gg. Kapas No.99, Waras, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581, Indonesia",-7.7487642,110.368397,ChIJO23zL6tZei4RXYmC_yvz_1c
Floating Glamping,5,63,"Jl. Roro Jonggrang No.08, Jaran, Tridadi, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55511, Indonesia",-7.7204594,110.357619,ChIJCzuLESpZei4RhUJQjd7nK04
RedDoorz near Sleman City Hall Yogyakarta,4.1,136,"7977+HP5, Jongke Tengah, Sendangadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55285, Indonesia",-7.7361917,110.364325,ChIJacv7OehYei4RDnRlSC2no7Y
Hotel Borobudur,4.1,1129,"Jl. Magelang No.6,3, Mlati Dukuh, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284, Indonesia",-7.748362800000001,110.3620622,ChIJG2xna_FYei4RTa0jMIZD_q8
Sunrise Hotel Jombor Yogyakarta,4,690,"Jl. Magelang No.KM 6, RW.5, Jombor Lor, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55285, Indonesia",-7.7469797,110.3621864,ChIJn_hHovFYei4R7SraVU64p0Q
Asram Edupark Glamping,4.5,72,"79G2+8GQ, Jl Pereng, Jomblang, Sendangadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55285, Indonesia",-7.7248983,110.3516992,ChIJg74c4qxZei4RUBWZzVtwQlU
Reddoorz Pondok Eyang Obi,4.6,164,"11, Jl. Pelda Sugiono No.RT 3, Pisangan, Tridadi, Sleman, Yogyakarta, Special Region of Yogyakarta 55511, Indonesia",-7.707674,110.356297,ChIJ57JZocRfei4Ryz9WhNhuvUg
Newly Medical Residence Yogyakarta,4,24,"Jl. Kabupaten Jl. Nila, Kranggahan I, Trihanggo, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55291, Indonesia",-7.7424938,110.3481151,ChIJHRbvHABZei4RKH9ntzH_grY
Samata Griya Homestay - Penginapan dan Penyewaan Pendopo Joglo Sleman,4.9,100,"Jl. Sindoro Gg. Wora-Wari No.38, Paten, Tridadi, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55511, Indonesia",-7.708265599999999,110.34680639999999,ChIJhUbnLABfei4RKcLxFO0ZJyg
ANNET HOMESTAY/GLAMPING,4.9,81,"Jl. Supadi, Plalangan, Pandowoharjo, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55512, Indonesia",-7.6806955,110.36887259999999,ChIJqZ20Imtfei4RVJgOWXjMk10
Joglo Wardani,5,15,"Dusun Sedan RT07/034, Jl. Panggungsari No.0, Panggung Sari, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581, Indonesia",-7.7408547,110.37015,ChIJGR78RgBZei4RjzdyZW3wslo
"Rumah Mertua ""Heritage"" Hotel Yogyakarta",4.5,574,"Jl. Palagan Tentara Pelajar Jl. Padma No.5, Waras, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581, Indonesia",-7.740857800000001,110.3685907,ChIJI2rhfG9fei4RAeuTlIZ5tEQ
Dalem Jongke by Ubu Villa,4.7,129,"Jl. Saron No.30, Jongke Tengah, Sendangadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55285, Indonesia",-7.731376399999999,110.3689387,ChIJYRBlbfJZei4R5m3i6PW4MoE
Casa De Java Jogja,4.8,85,"Jl. Sedan Asri No.598, RT.05/RW.34, Waras, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581, Indonesia",-7.743923799999999,110.3713973,ChIJXW9bor5Zei4RhTQsLNBvzlU
KASUTAPAN VILLA,5,12,"Gg. Kertoarmojo No.RT 04/41, Plalangan, Pandowoharjo, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55512, Indonesia",-7.681598599999999,110.36791009999999,ChIJ_ztnQqxfei4RHWHqnROcT40
Rumah Sleman,4.4,109,"Jl. Purboyo No.111, Warak Kidul, Sumberadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55671, Indonesia",-7.718069400000001,110.3356937,ChIJhxDonqtYei4RBA6Yc6qOGGY
Dhateng Jogja,5,3,"Jl. Palagan Tentara Pelajar No.km 7 8, Jatirejo, Sendangadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55285, Indonesia",-7.731873299999999,110.37229509999999,ChIJbdfX5hpZei4RrE-QnSaCUVY
Sukha Villa Jogja,4.9,15,"Jl. Jongke Kidul No.36, Jongke Tengah, Sendangadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55285, Indonesia",-7.7363338,110.36741149999999,ChIJtxrfIgBZei4RBcBMNBPaE3A
Reddoorz Syariah near Sleman City Hall 4,4.2,11,"Jl. Parasamya No.51, Beran Lor, Tridadi, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55511, Indonesia",-7.7116631,110.35709779999999,ChIJMyEt2Ktfei4RxlL5RU1R2ZI
Omah Jamblangan Homestay,4.9,15,"Dusun Jamblangan, Mriyan, Margomulyo, Kec. Seyegan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55561, Indonesia",-7.729491500000001,110.3156247,ChIJr9fyAxH2ei4RrqFYijZa-44
VILLA TJEBONGAN,4.9,15,"Jl. Gajah Mada No.03, Area Sawah, Tlogoadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55286, Indonesia",-7.732291099999999,110.33076870000001,ChIJOwSkpKtZei4RlNHh765W3PA
Loman Park Hotel Yogyakarta,4.8,2267,"Jl. Affandi Jl. Kolombo, Mrican, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7771194999999995,110.3895876,ChIJawos48VZei4RGXTSV1zxkNs
Urbanview Hotel Syariah Astungkara Space Sleman by RedDoorz,4.8,63,"Jl. Griya Taman Asri, Grojogan, Pandowoharjo, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta, Grojogan, Pandowoharjo, Kec. Sleman, Kabupaten Sleman, Jawa Tengah 55511, Indonesia",-7.7181691,110.3688791,ChIJVWF3cLxfei4RiSUCtlxd7M0
