Nama Juice Buah,Rating,Total Reviews,Alamat,Latitude,Longitude,Place ID
Hide&Seek,5,65,"Jl. Cempolorejo V No.12, Krobokan, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50141, Indonesia",-6.9794788,110.3962991,ChIJLb3DUQCLcC4RhAxJW-NVSYY
Dje'Gank Cafe & Coffee,4.3,66,"Jl. Puri Anjasmoro blok M7/L3, Tambakharjo, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50144, Indonesia",-6.9702002,110.3835312,ChIJv1E05vP1cC4ReMGpk-uovWo
Kopi Kota,4.7,52,"Jl. Abdulrahman Saleh No.55, Kalibanteng Kulon, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50145, Indonesia",-6.9901003,110.38208549999999,ChIJjbJjDwCLcC4R47612JYtV1E
Dharma Boutique Roastery,4.8,406,"Jl. Wotgandul Barat No.14, Kranggan, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50137, Indonesia",-6.9789118,110.42453019999999,ChIJO6zzvlWLcC4RHRu51qP0WBg
Boskaf Coffee,4.7,1050,"Jl. Moh. Suyudi No.28, Miroto, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50134, Indonesia",-6.9827888,110.4193612,ChIJpxLDJVGLcC4Rg75m75g6BoU
The EYECONIC Cafe,5,24,"Jl. Pamularsih Raya No.112, Salamanmloyo, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50148, Indonesia",-6.9875715,110.3866106,ChIJH8U0ZgCLcC4RfQy5sZGtC-M
Hideout Corner,4.6,259,"Jl. Jenderal Sudirman No.212, Cabean, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50141, Indonesia",-6.9816794,110.39589199999999,ChIJEVhC1y-LcC4RbsAUCFyZzM4
Kopi Sedjak Dini Semarang,5,2,"Jl. Kumudasmoro Utara No.17, Bongsari, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50148, Indonesia",-6.988402,110.3912419,ChIJG51lhs2LcC4Rj724fQbuYXU
Kopi Kenangan - SPBU Pertamina (Pamularsih),4.4,103,"Jl. Pamularsih Raya No.50, Salamanmloyo, Semarang Baru, Kota Semarang, Jawa Tengah 50149, Indonesia",-6.9887258,110.3940635,ChIJiWj0ZNGLcC4RTmBnMAcKa58
POINT COFFEE,4.6,154,"Jl. Pamularsih Raya No.79, Bongsari, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50148, Indonesia",-6.9897544,110.39466829999999,ChIJ3w-rHcWLcC4RNzraEFKuBK0
ANANTARI COFFEE,4.6,1849,"Jl. Jangli Gabeng, Jangli, Kec. Tembalang, Kota Semarang, Jawa Tengah 50274, Indonesia",-7.0337153,110.44203759999999,ChIJlSadk9mNcC4RV91AKtR5LpI
Kopi Sruput.in,N/A,N/A,"Jl. Puspanjolo Bar. V No.3, Bojongsalaman, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50141, Indonesia",-6.9840637999999995,110.3972831,ChIJB63edQCLcC4R1t_AaLrWE_c
KOPIKU.CRIT,4.8,158,"Halte BRT Sampokong 2, Samping Halte BRT, Ngemplak Simongan, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50148, Indonesia",-6.9942645,110.39865250000001,ChIJSxjwniKLcC4R6TlRGcA_6FA
Hero Coffee Lights 24 Jam,4.8,311,"Jl. Pemuda No.88, Sekayu, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50132, Indonesia",-6.978789099999999,110.4149188,ChIJWUAY676LcC4RskOlQdMafFE
Cafe Angkringan kopi kampong,5,20,"Jl. Tawang Rejosari Raya No.32, Tawangmas, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50144, Indonesia",-6.9717177,110.3921381,ChIJPQ8t8Y_1cC4RQ9VltGN2mm0
Keizai Coffee & Garden MD3,4.6,527,"Jl. Munasari No.28, RT.1/RW.6, Pakintelan, Kec. Gn. Pati, Kota Semarang, Jawa Tengah 50227, Indonesia",-7.079123999999999,110.3902595,ChIJL2t5d0-JcC4RjR3WSRb4WWg
Angon Kopi,4.7,44,"X Jl. Pusponjolo Slt, Bojongsalaman, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50141, Indonesia",-6.9872805,110.39811279999999,ChIJa_uvz9CLcC4RSSpRWqbPDb0
